Year,Date,Host,City,Venue,Rank,University,Country,Team,Contestant 1,Contestant 2,Contestant 3,Gold,Silver,Bronze,Honorable,Score,Total,Score Percentage,Penalty,Prize
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,1,"St. Petersburg National Research University of IT, Mechanics and Optics",Russia,SPb ITMO University 1,Artem Vasilyev,Borys Minaiev,Gennady Korotkevich,True,False,False,False,13,13,1.0,1801,"World Champion, Europe Champion"
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,2,Moscow State University,Russia,Moscow SU Tapirs,Gleb Evstropov,Mikhail Pyaderkin,Victor Omelyanenko,True,False,False,False,11,13,0.85,1293,
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,3,The University of Tokyo,Japan,!#$%&()*+-./:;<=>?@[\]^_`{|}~,Kensuke Imanishi,Makoto Soejima,Shogo Murai,True,False,False,False,11,13,0.85,1369,Asia Champion
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,4,Tsinghua University,China,ThinkingBear,Dingli Yu,Jie Xu,Mingda Qiao,True,False,False,False,10,13,0.77,1234,
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,5,Peking University,China,Valkyrie,Chao Li,Di Wang,Zhengkai Wu,False,True,False,False,10,13,0.77,1250,
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,6,University of California at Berkeley,United States,Berkeley Blue,Biye Jiang,Luhang Lai,Yi Wu,False,True,False,False,10,13,0.77,1347,North America Champion
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,7,University of Zagreb,Croatia,Zagreb,Gustav Matula,Ivan Katanic,Stjepan Glavina,False,True,False,False,10,13,0.77,1501,
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,8,Charles University in Prague,Czechia,MFF,Filip Hlásek,Miroslav Olšák,Štěpán Šimsa,False,True,False,False,10,13,0.77,1567,
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,9,Shanghai Jiao Tong University,China,Dracarys,Jun Ma,Wenhan Huang,Yanpei Liu,False,False,True,False,10,13,0.77,1616,
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,10,Massachusetts Institute of Technology,United States,MIT2,Ali-Amir Aldan,Haoran Xu,Szu-Po Wang,False,False,True,False,10,13,0.77,1629,
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,11,Korea University,South Korea,Team X,Geun Woo Bae,MyungWoo Chun,WonCheol Lee,False,False,True,False,9,13,0.69,1220,
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,12,University of Warsaw,Poland,Warsaw Eagles 2015,Błażej Magnowski,Kamil Dębowski,Marek Sommer,False,False,True,False,9,13,0.69,1233,
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,13,University of Waterloo,Canada,Waterloo Black,Deon Nicholas,Geoffry Song,Volodymyr Lyubinets,False,False,False,True,9,13,0.69,1566,
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,14,University of Wroclaw,Poland,UWr1,Bartłomiej Dudek,Maciej Dulęba,Mateusz Gołębiewski,False,False,False,True,9,13,0.69,1700,
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,15,Fudan University,China,KuroRekishi,Haoming Xing,Yanming Liu,Yue Yang,False,False,False,True,8,13,0.62,813,
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,16,Lviv National University,Ukraine,LNU Penguins,Bohdan Pryshchenko,Roman Bilyi,Vitaliy Herasymiv,False,False,False,True,8,13,0.62,890,
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,17,Jagiellonian University in Krakow,Poland,Jagiellonian,Grzegorz Guśpiel,Michał Seweryn,Piotr Bejda,False,False,False,True,8,13,0.62,982,
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,18,Universidad de Buenos Aires - FCEN,Argentina,Melarita,Ariel Zylber,Lucas Tavolaro Ortiz,Melanie Sclar,False,False,False,True,8,13,0.62,1040,Latin America Champion
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,19,Harvard University,United States,Harvard,Calvin Deng,David Liu,Johnny Ho,False,False,False,True,8,13,0.62,1056,
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,20,University of Southern California,United States,Trojans,Gaoyuan Chen,Ruixin Qiang,Xinpei Yu,False,False,False,True,8,13,0.62,1085,
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,21,Belarusian State University,Belarus,BelarusianSU,Aliaksandr Nekrashevich,Aliaksei Kolesau,Yauheni Hrytskevich,False,False,False,True,8,13,0.62,1128,
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,22,University of California Los Angeles,United States,UCLA Blue,Chaoshuai Lu,Hao Chen,Xin Gao,False,False,False,True,8,13,0.62,1185,
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,23,University of Electronic Science and Technology of China,China,UESTC_MonaLisa,Ke Xiao,Penghui Qi,Weiping Lin,False,False,False,True,8,13,0.62,1274,
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,24,Carnegie Mellon University,United States,XP-Developer,Jason Li,Raymond Kang,William Cooperman,False,False,False,True,8,13,0.62,1323,
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,25,KAIST,South Korea,OriGoGi,Hyeonseop Lee,Jae Eui Ma,Taehyun Lee,False,False,False,True,8,13,0.62,1330,
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,26,Sharif University of Technology,Iran,Saboon,Alireza Farhadi,Hamed Saleh Mohammadabad,Saeed Ilchi Ghazaan,False,False,False,True,8,13,0.62,1449,
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,27,Georgia Institute of Technology,United States,Yellow Jackets,Hanjun Dai,Yijie Wang,Zhongtian Jiang,False,False,False,True,8,13,0.62,1719,
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,28,KTH - Royal Institute of Technology,Sweden,Omogen Heap,Johan Sannemo,Mårten Wiman,Simon Lindholm,False,False,False,True,7,13,0.54,741,
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,29,National Taiwan University,Taiwan,|_0|_1,Cheng Yueh,Shuo-Yan Lin,Zheng-Jie Chang,False,False,False,True,7,13,0.54,767,
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,30,Beihang University,China,TheWaySoFar,Haiyu Zhao,Shengying Jin,Xuanang Zhao,False,False,False,True,7,13,0.54,780,
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,31,Shanghai University,China,Final_Battle,Bin Kuang,Jianhao Zhang,Jun Mei,False,False,False,True,7,13,0.54,828,
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,32,Kyoto University,Japan,Colorful Jumbo Chicken,Shogo Ehara,Shoichi Nishimura,Tomohiro Oka,False,False,False,True,7,13,0.54,845,
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,33,National University of Singapore,Singapore,ThanQ+,Dinh Quang Dat Vu,Jonathan Irvin Gunawan,Nathan Azaria,False,False,False,True,7,13,0.54,873,
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,34,Universidade de São Paulo,Brazil,I am Root,Antonio Roberto de Campos Junior,Marcos Kawakami,Stefano Tommasini,False,False,False,True,7,13,0.54,921,
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,35,Odessa National Mechnikov University,Ukraine,ONU 1 2/3,Fedir Poliakov,Sergii Sklianichenko,Yurii Monastyrshyn,False,False,False,True,7,13,0.54,951,
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,36,University of Central Florida,United States,UCF Knights,Evan Dorundo,John Boswell,Tyler Brazill,False,False,False,True,7,13,0.54,964,
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,37,Universitat Politècnica de Catalunya,Spain,Enguany tampoc?,Angel Garcia Gomez,Dario Nieuwenhuis,Ferran Alet,False,False,False,True,7,13,0.54,991,
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,38,Beijing Jiaotong University,China,Hyacinth,Shiying Luo,Shu Wang,YanBin Kang,False,False,False,True,7,13,0.54,996,
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,39,South China Agricultural University,China,aabbxx,Huakai Deng,Ye Liang,Yongsheng Li,False,False,False,True,7,13,0.54,999,
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,40,University of Tsukuba,Japan,nekonyaso,Nozomu Nakajima,Ryosuke Koyanagi,Takaaki Hiragushi,False,False,False,True,7,13,0.54,1024,
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,41,University of Bucharest,Romania,Unibuc_Infoarena_Coders,Adrian Budau,Andrei Bud,Ciprian Olariu,False,False,False,True,7,13,0.54,1038,
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,42,National Research University Higher School of Economics,Russia,#1,Aydar Sayranov,Ivan Trofimov,Yury Mokriy,False,False,False,True,7,13,0.54,1044,
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,43,Zhejiang SCI-TECH University,China,shenshanlaoyao,Huijie Ye,Mingming Zhang,Yiqi Wu,False,False,False,True,7,13,0.54,1047,
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,44,Taras Shevchenko Kiev National University,Ukraine,Flawless,Andrii Mostovyi,Dmytro Ihnatenko,Roman Furko,False,False,False,True,7,13,0.54,1058,
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,45,National University of Defense Technology,China,ALPC_NeverFarewell,Hao Wu,Hao Yu,Zheng Qin,False,False,False,True,7,13,0.54,1064,
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,46,Saint Petersburg Academic University – Nanotechnology Research and Education Centre RAS,Russia,SPb AU 1: Nibbler,Evgenii Sluzhaev,Evgeniy Akimov,Nikolai Karpov,False,False,False,True,7,13,0.54,1101,
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,47,Moscow Institute of Physics & Technology,Russia,The Moon,Dmitry Kuzmichev,Mikhail Surin,Nikolai Pershakov,False,False,False,True,7,13,0.54,1141,
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,48,Zhejiang University,China,Perditio,Xi Lin,Yanliang Qian,Yi Lu,False,False,False,True,7,13,0.54,1157,
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,49,Hangzhou Dianzi University,China,HDU-D-Ark,Xiangsheng Zheng,Xianjie Zhou,Zimu Wang,False,False,False,True,7,13,0.54,1177,
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,50,University of Michigan at Ann Arbor,United States,Victors,Chun Wu,Yujie An,Zhou Sun,False,False,False,True,7,13,0.54,1186,
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,51,St. Petersburg State University,Russia,SPb SU is a ball,Alexey Gordeev,Kirill Simonov,Ruslan Sayfutdinov,False,False,False,True,6,13,0.46,624,
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,52,Seoul National University,South Korea,cpp,Bumsoo Park,Hyun Min Choi,Jaesung Park,False,False,False,True,6,13,0.46,639,
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,53,Fuzhou University,China,Monologue,JingLin Chen,Liang Zhong,You Wu,False,False,False,True,6,13,0.46,793,
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,54,Shahjalal University of Science and Technology,Bangladesh,SUST_DownToTheWire,Abdullah Al Maruf,Dhananjoy Biswas,Sakibul Mowla,False,False,False,True,6,13,0.46,795,
2015,2015-05-20,Morocco,Marrakech,Palmeraie Conference Center,55,Saratov State University,Russia,Saratov SU 2,Alexandr Frolov,Artur Svechnikov,Ilya Los,False,False,False,True,6,13,0.46,797,
