Year,Date,Host,City,Venue,Rank,University,Country,Team,Contestant 1,Contestant 2,Contestant 3,Gold,Silver,Bronze,Honorable,Score,Total,Score Percentage,Penalty,Prize
2011,2011-05-30,United States,"Orlando, FL",The Peabody Orlando Hotelg,1,Zhejiang University,China,ArcOfDream,Jialin Ouyang,Luyi Mo,Zejun Wu,True,False,False,False,8,11,0.73,1228,"World Champion, Asia Champion"
2011,2011-05-30,United States,"Orlando, FL",The Peabody Orlando Hotelg,2,University of Michigan at Ann Arbor,United States,Victors,Jonathan Plotzke,Mark Gordon,Qifeng Chen,True,False,False,False,8,11,0.73,1462,North America Champion
2011,2011-05-30,United States,"Orlando, FL",The Peabody Orlando Hotelg,3,Tsinghua University,China,Dubhe,Dong Zhou,Yi Yang,Zichao Qi,True,False,False,False,7,11,0.64,800,
2011,2011-05-30,United States,"Orlando, FL",The Peabody Orlando Hotelg,4,St. Petersburg State University,Russia,SPb SU 1: DrinkLess,Aliaksei Levin,Arseny Smirnov,Valentin Fondaratov,True,False,False,False,7,11,0.64,893,Europe Champion
2011,2011-05-30,United States,"Orlando, FL",The Peabody Orlando Hotelg,5,Nizhny Novgorod State University,Russia,NNSU,Alexey Shmelev,Vasiliy Vadimov,Vladislav Epifanov,False,True,False,False,7,11,0.64,938,
2011,2011-05-30,United States,"Orlando, FL",The Peabody Orlando Hotelg,6,Saratov State University,Russia,Saratov SU 2,Artem Rakhov,Maxim Ivanov,Nikolay Kuznetsov,False,True,False,False,7,11,0.64,966,
2011,2011-05-30,United States,"Orlando, FL",The Peabody Orlando Hotelg,7,Friedrich-Alexander-University Erlangen-Nuremberg,Germany,deFAUlt,Alexander Rass,Julian Fischer,Thomas Fersch,False,True,False,False,7,11,0.64,1088,
2011,2011-05-30,United States,"Orlando, FL",The Peabody Orlando Hotelg,8,Donetsk National University,Ukraine,DonNU_United,Anton Lomonos,Anton Lunov,Ivan Kuskov,False,True,False,False,7,11,0.64,1155,
2011,2011-05-30,United States,"Orlando, FL",The Peabody Orlando Hotelg,9,Jagiellonian University in Krakow,Poland,Jagiellonian,Adam Polak,Maciej Wawro,Robert Obryk,False,False,True,False,7,11,0.64,1176,
2011,2011-05-30,United States,"Orlando, FL",The Peabody Orlando Hotelg,10,Moscow State University,Russia,MSU Unpredictable,Akim Kumok,Ilya Kornakov,Vasily Astakhov,False,False,True,False,7,11,0.64,1187,
2011,2011-05-30,United States,"Orlando, FL",The Peabody Orlando Hotelg,11,Ural State University,Russia,Ural SU Lynx,Denis Dublennykh,Evgeny Kurpilyanskiy,Mikhail Rubinchik,False,False,True,False,7,11,0.64,1345,
2011,2011-05-30,United States,"Orlando, FL",The Peabody Orlando Hotelg,12,University of Waterloo,Canada,Waterloo Black,Brian Bi,Hanson Wang,Tyson Andre,False,False,True,False,7,11,0.64,1555,
2011,2011-05-30,United States,"Orlando, FL",The Peabody Orlando Hotelg,13,Taurida V.I. Vernadsky National University,Ukraine,TTL300,Oleksandr Barykin,Viktor Barinov,Volodymyr Krestiannykov,False,False,False,True,6,11,0.55,614,
2011,2011-05-30,United States,"Orlando, FL",The Peabody Orlando Hotelg,14,National Taiwan University,Taiwan,+1 ironwood branch,Che Yang Wu,Han-Jay Yang,Pi-Hsun Shih,False,False,False,True,6,11,0.55,804,
2011,2011-05-30,United States,"Orlando, FL",The Peabody Orlando Hotelg,15,University of Warsaw,Poland,Warsaw Eagles,Jakub Pachocki,Tomasz Kulczyński,Wojciech Śmietanka,False,False,False,True,6,11,0.55,872,
2011,2011-05-30,United States,"Orlando, FL",The Peabody Orlando Hotelg,16,"St. Petersburg National Research University of IT, Mechanics and Optics",Russia,SPbSU ITMO 2,Anton Akhi,Anton Bannykh,Sergey Poromov,False,False,False,True,6,11,0.55,931,
2011,2011-05-30,United States,"Orlando, FL",The Peabody Orlando Hotelg,17,Nanyang Technological University,Singapore,NTU Pigeons,Anh Tuan Khuc,Quang Vu Pham,Tuan Anh Doan,False,False,False,True,6,11,0.55,958,
2011,2011-05-30,United States,"Orlando, FL",The Peabody Orlando Hotelg,18,Universidad de Buenos Aires - FCEN,Argentina,AJI,Agustin Santiago Gutierrez,Ignacio Rossi,Juan Dodyk,False,False,False,True,6,11,0.55,965,Latin America Champion
2011,2011-05-30,United States,"Orlando, FL",The Peabody Orlando Hotelg,19,KAIST,South Korea,RoyalRoader,Jae Hong Kim,Junhee Cho,Sun Il Kwon,False,False,False,True,6,11,0.55,965,
2011,2011-05-30,United States,"Orlando, FL",The Peabody Orlando Hotelg,20,Peking University,China,PKU_Ftd,Luhang Lai,Yuxi Chen,Ziqian Xiao,False,False,False,True,6,11,0.55,1012,
