Year,Date,Host,City,Venue,Rank,University,Country,Team,Contestant 1,Contestant 2,Contestant 3,Gold,Silver,Bronze,Honorable,Score,Total,Score Percentage,Penalty,Prize
2016,2016-05-19,Thailand,Phuket,Phuket Sports Arena,1,St. Petersburg State University,Russia,SPb SU 1: Base,Alexey Gordeev,Igor Pyshkin,Stanislav Ershov,True,False,False,False,11,13,0.85,1560,"World Champion, Europe Champion"
2016,2016-05-19,Thailand,Phuket,Phuket Sports Arena,2,Shanghai Jiao Tong University,China,Dreadnought,Haobin Ni,Wenhan Huang,Yanpei Liu,True,False,False,False,11,13,0.85,1567,Asia Champion
2016,2016-05-19,Thailand,Phuket,Phuket Sports Arena,3,Harvard University,United States,Harvard,Calvin Deng,Johnny Ho,Scott Wu,True,False,False,False,10,13,0.77,1358,North America Champion
2016,2016-05-19,Thailand,Phuket,Phuket Sports Arena,4,Moscow Institute of Physics & Technology,Russia,MIPT: Jinotega,Artsem Zhuk,Ivan Smirnov,Konstantin Semenov,True,False,False,False,10,13,0.77,1437,
2016,2016-05-19,Thailand,Phuket,Phuket Sports Arena,5,University of Warsaw,Poland,Warsaw Eagles 2016,Marcin Smulewicz,Marek Sokołowski,Wojciech Nadara,False,True,False,False,10,13,0.77,1586,
2016,2016-05-19,Thailand,Phuket,Phuket Sports Arena,6,Massachusetts Institute of Technology,United States,MIT ZERO,Andrew He,Brian Chen,Steven Hao,False,True,False,False,9,13,0.69,1021,
2016,2016-05-19,Thailand,Phuket,Phuket Sports Arena,7,St. Petersburg ITMO University,Russia,SPb ITMO University 1,Adam Bardashevich,Anton Kovsharov,Vladimir Smykalov,False,True,False,False,9,13,0.69,1026,
2016,2016-05-19,Thailand,Phuket,Phuket Sports Arena,8,Ural Federal University,Russia,Ural FU: Dandelion,Alexey Danilyuk,Nikita Sivukhin,Oleg Merkurev,False,True,False,False,9,13,0.69,1167,
2016,2016-05-19,Thailand,Phuket,Phuket Sports Arena,9,University of Wroclaw,Poland,UWr1,Bartłomiej Dudek,Maciej Dulęba,Mateusz Gołębiewski,False,False,True,False,9,13,0.69,1193,
2016,2016-05-19,Thailand,Phuket,Phuket Sports Arena,10,Nizhny Novgorod State University,Russia,Nizhny Novgorod SU 1,Mikhail Krivonosov,Nikolay Kalinin,Vladislav Epifanov,False,False,True,False,9,13,0.69,1222,
2016,2016-05-19,Thailand,Phuket,Phuket Sports Arena,11,Lviv National University,Ukraine,LNU Penguins,Roman Bilyi,Taras Savitskyi,Vitalii Herasymiv,False,False,True,False,9,13,0.69,1430,
2016,2016-05-19,Thailand,Phuket,Phuket Sports Arena,12,Fudan University,China,Saga,Haoming Xing,Jinyue Su,Ziyang Chen,False,False,True,False,9,13,0.69,1613,
2016,2016-05-19,Thailand,Phuket,Phuket Sports Arena,13,University of Waterloo,Canada,Waterloo Black,Antonio Molina Lovett,Jacob Jackson,Yi Feng Huang,False,False,False,True,9,13,0.69,1789,
2016,2016-05-19,Thailand,Phuket,Phuket Sports Arena,14,The University of Tokyo,Japan,IIIlIIIllIIlIlIIllIlIllllllIII,Ikumi Hide,Shinya Shiroshita,Shogo Murai,False,False,False,True,8,13,0.62,770,
2016,2016-05-19,Thailand,Phuket,Phuket Sports Arena,15,National University of Singapore,Singapore,RRwatameda,Hung Tam Nguyen,Tan Sy Nguyen Nguyen,Thanh Trung Nguyen,False,False,False,True,8,13,0.62,999,
2016,2016-05-19,Thailand,Phuket,Phuket Sports Arena,16,Moscow State University,Russia,Moscow SU Trinity,Alexey Shlyunkin,Dmitriy Gorbunov,Maxim Akhmedov,False,False,False,True,8,13,0.62,1060,
2016,2016-05-19,Thailand,Phuket,Phuket Sports Arena,17,Belarusian State University of Informatics and Radioelectronics,Belarus,Belarusian SUIR 2,Aliaksei Vistiazh,Andrei Sobal,Andrei Valchok,False,False,False,True,8,13,0.62,1073,
2016,2016-05-19,Thailand,Phuket,Phuket Sports Arena,18,Tsinghua University,China,Wunderzeit,Hengjie Zhang,Honghua Dong,Qinshi Wang,False,False,False,True,8,13,0.62,1125,
2016,2016-05-19,Thailand,Phuket,Phuket Sports Arena,19,National Taiwan University,Taiwan,bcw0x1bd2,Cheng-Min Chiang,Han Chung Wang,Kai-Chi Huang,False,False,False,True,8,13,0.62,1167,
2016,2016-05-19,Thailand,Phuket,Phuket Sports Arena,20,University of Helsinki,Finland,Game of Nolife,Olli Hirviniemi,Otte Heinävaara,Tuukka Korhonen,False,False,False,True,8,13,0.62,1187,
2016,2016-05-19,Thailand,Phuket,Phuket Sports Arena,21,Zhongshan (Sun Yat-sen) University,China,SYSU_Braid,Jianchang Zhang,Yanfen Ma,Zhengjie Xu,False,False,False,True,8,13,0.62,1232,
2016,2016-05-19,Thailand,Phuket,Phuket Sports Arena,22,St. Petersburg Academic University,Russia,SPbAU 1 Generation Z,Egor Bogomolov,Nikita Podguzov,Petr Smirnov,False,False,False,True,8,13,0.62,1233,
2016,2016-05-19,Thailand,Phuket,Phuket Sports Arena,23,Beihang University,China,TheWaySoFar,Haiyu Zhao,Shengying Jin,Xuanang Zhao,False,False,False,True,8,13,0.62,1262,
2016,2016-05-19,Thailand,Phuket,Phuket Sports Arena,24,Saratov State University,Russia,Saratov SU Daemons,Danil Sagunov,Edvard Davtyan,Vitalii Kudasov,False,False,False,True,8,13,0.62,1304,
2016,2016-05-19,Thailand,Phuket,Phuket Sports Arena,25,Jagiellonian University in Krakow,Poland,Jagiellonian,Krzysztof Maziarz,Michał Zając,Szymon Łukasz,False,False,False,True,8,13,0.62,1335,
2016,2016-05-19,Thailand,Phuket,Phuket Sports Arena,26,Moscow Aviation Institute,Russia,MAI #1,Aleksei Safronov,Oleg Mingalev,Timofey Yushchenko,False,False,False,True,8,13,0.62,1339,
2016,2016-05-19,Thailand,Phuket,Phuket Sports Arena,27,Sharif University of Technology,Iran,CrockPot,Ali Haghani,Amir Keivan Mohtashami,Peyman Jabbarzade Ganje,False,False,False,True,8,13,0.62,1547,
2016,2016-05-19,Thailand,Phuket,Phuket Sports Arena,28,University of Zagreb,Croatia,Zagreb,Ivan Lazarić,Mihael Liskij,Tonko Sabolčec,False,False,False,True,7,13,0.54,952,
2016,2016-05-19,Thailand,Phuket,Phuket Sports Arena,29,University of Engineering and Technology - VNU,Viet Nam,BYTE,Khanh Do Ngoc,Kien Nguyen Tien Trung,Van Hanh Pham,False,False,False,True,7,13,0.54,1008,
2016,2016-05-19,Thailand,Phuket,Phuket Sports Arena,30,Kim Il Sung University,North Korea,RNS,GyongMin Jo,HyoSong Kim,UnSong Ri,False,False,False,True,7,13,0.54,1009,
2016,2016-05-19,Thailand,Phuket,Phuket Sports Arena,31,Kyoto University,Japan,breakShot,Akifumi Imanishi,Kazuki Takise,Yuta Ojima,False,False,False,True,7,13,0.54,1028,
2016,2016-05-19,Thailand,Phuket,Phuket Sports Arena,32,Universidad Nacional de Rosario,Argentina,Caloventor en Dos,Mariano Crosetti,Martín Villagra,Pablo Zimmermann,False,False,False,True,7,13,0.54,1032,Latin America Champion
2016,2016-05-19,Thailand,Phuket,Phuket Sports Arena,33,University of Central Florida,United States,UCF Knights,Evan Dorundo,Michael Kirsche,Stephen Royal,False,False,False,True,7,13,0.54,1074,
2016,2016-05-19,Thailand,Phuket,Phuket Sports Arena,34,Tianjin University,China,TJU_Thief_Master,Sheng Cao,Tingle Zhou,Yibo Shi,False,False,False,True,7,13,0.54,1120,
2016,2016-05-19,Thailand,Phuket,Phuket Sports Arena,35,Belarusian State University,Belarus,BelarusianSU1,Aliaksei Paliyevits,Kanstantsin Sokal,Pavel Shaftsialevich,False,False,False,True,7,13,0.54,1154,
2016,2016-05-19,Thailand,Phuket,Phuket Sports Arena,36,University of California at Berkeley,United States,Berkeley Blue,Alexander Dai,Pasin Manurangsi,Weiqiao Han,False,False,False,True,7,13,0.54,1168,
2016,2016-05-19,Thailand,Phuket,Phuket Sports Arena,37,Zhejiang University,China,Siunaus,Mengge Jin,Xiajun Wang,Yueqi Zhao,False,False,False,True,7,13,0.54,1174,
2016,2016-05-19,Thailand,Phuket,Phuket Sports Arena,38,Innopolis University,Russia,Innopolis U Known,Aleksandr Mashrabov,Evgeny Savinov,Sergey Kiyan,False,False,False,True,7,13,0.54,1194,
2016,2016-05-19,Thailand,Phuket,Phuket Sports Arena,39,KAIST,South Korea,[A-Za-z0-9]+,Jae Hong Kim,Jongwon Lee,Sun Il Kwon,False,False,False,True,7,13,0.54,1267,
2016,2016-05-19,Thailand,Phuket,Phuket Sports Arena,40,Cornell University,United States,snoopy fan club,Jake Silverman,Sakethnath Are,Victor Reis,False,False,False,True,7,13,0.54,1323,
2016,2016-05-19,Thailand,Phuket,Phuket Sports Arena,41,The Chinese University of Hong Kong,Hong Kong,Real Base,Chun Yin Samspon Lee,Kam Chuen Tung,On Yin Leung,False,False,False,True,7,13,0.54,1414,
2016,2016-05-19,Thailand,Phuket,Phuket Sports Arena,42,Universidade Federal de Pernambuco,Brazil,Turing-indecisos,Duhan Caraciolo,Gustavo Stor,Mário Henrique da Silva,False,False,False,True,7,13,0.54,1434,
2016,2016-05-19,Thailand,Phuket,Phuket Sports Arena,43,Peking University,China,Crawl,Xuanrun Zhang,Yang Shen,Yudong Li,False,False,False,True,7,13,0.54,1536,
2016,2016-05-19,Thailand,Phuket,Phuket Sports Arena,44,National Chiao Tung University,Taiwan,NCTU_Thor,Jyun-Jie Liao,LiCheng Lan,Pin Chang Pan,False,False,False,True,6,13,0.46,651,
2016,2016-05-19,Thailand,Phuket,Phuket Sports Arena,45,Taras Shevchenko National University of Kyiv,Ukraine,Flawless,Dmytro Ihnatenko,Mykhailo Chornyi,Roman Furko,False,False,False,True,6,13,0.46,854,
2016,2016-05-19,Thailand,Phuket,Phuket Sports Arena,46,Universidade Federal de Campina Grande,Brazil,Abella e as feras,Felipe Abella Cavalcante Mendonça de Souza,Manoel Lucas Urbano de Barros Lins,Árysson Figueiredo,False,False,False,True,6,13,0.46,869,
2016,2016-05-19,Thailand,Phuket,Phuket Sports Arena,47,Beijing University of Posts and Telecommunications,China,heheda,Jie Liu,YingXiang Jiao,Zitian Wang,False,False,False,True,6,13,0.46,993,
2016,2016-05-19,Thailand,Phuket,Phuket Sports Arena,48,University of Electronic Science and Technology of China,China,UESTC_murasame,Jianxiao Hu,SiRui Lin,Zhu He,False,False,False,True,6,13,0.46,1027,
2016,2016-05-19,Thailand,Phuket,Phuket Sports Arena,49,Stanford University,United States,Stanford Cardinal,Hubert Teo,Joshua Alman,Yuetong Wang,False,False,False,True,6,13,0.46,1051,
2016,2016-05-19,Thailand,Phuket,Phuket Sports Arena,50,Jahangirnagar University,Bangladesh,JU_O(N^3,Md. Nafis Sadique,Niloy Datta,Raihat Zaman Neloy,False,False,False,True,6,13,0.46,1504,
2016,2016-05-19,Thailand,Phuket,Phuket Sports Arena,51,Comenius University,Slovakia,Zelovoc svetla,Eduard Batmendijn,Ján Hozza,Michal Anderle,False,False,False,True,5,13,0.38,552,
