Year,Date,Host,City,Venue,Rank,University,Country,Team,Contestant 1,Contestant 2,Contestant 3,Gold,Silver,Bronze,Honorable,Score,Total,Score Percentage,Penalty,Prize
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,27 - 43,Iowa State University,United States,Iowa State Cy-Borg,,,,False,False,False,True,2,8,0.25,728,
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,27 - 43,Linköping University,Sweden,Linköping LiTHe code,,,,False,False,False,True,2,8,0.25,,
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,27 - 43,National Tsing Hua University,Taiwan,National Tshing-Hua Ants,,,,False,False,False,True,2,8,0.25,,
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,27 - 43,National University of Singapore,Singapore,NU Singapore Algo~gators,,,,False,False,False,True,2,8,0.25,,
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,27 - 43,Rose-Hulman Institute of Technology,United States,Rose Hulman,,,,False,False,False,True,2,8,0.25,,
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,27 - 43,The University of Queensland,Australia,"UQ Bitter, Cynical and Coding",,,,False,False,False,True,2,8,0.25,,
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,27 - 43,Universidad de Buenos Aires,Argentina,U de Buenos Aires UBA,,,,False,False,False,True,2,8,0.25,295,Latin America Champion
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,27 - 43,Universiteit Leiden,Netherlands,U Leiden PION 2000,,,,False,False,False,True,2,8,0.25,,
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,27 - 43,University of California San Diego,United States,UCSD Surfers,,,,False,False,False,True,2,8,0.25,,
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,27 - 43,University of Pretoria,South Africa,U Pretoria Tukkies,,,,False,False,False,True,2,8,0.25,138,Africa and the Middle East Champion
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,27 - 43,University of Warsaw,Poland,Warsaw Eagles,,,,False,False,False,True,2,8,0.25,,
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,44,University of Arkansas,United States,U Arkansas Razorbacks,,,,False,False,False,True,1,8,0.12,55,
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,45,Universidad Simón Bolívar,Venezuela,USB-Venezuela,,,,False,False,False,True,1,8,0.12,67,
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,46,Institute of Informatics PMF Skopje - Macedonia,North Macedonia,IIPMF Macedonian Phalanx,,,,False,False,False,True,1,8,0.12,368,
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,47 - 60,Amirkabir University of Technology,Iran,Amir Kabir Kian,,,,False,False,False,True,0,8,0.0,0,
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,47 - 60,Harding University,United States,Harding,,,,False,False,False,True,0,8,0.0,0,
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,47 - 60,ITESM Campus Estado de Mexico,Mexico,ITESM CEM GaToZ LoCoZ,,,,False,False,False,True,0,8,0.0,0,
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,47 - 60,Indian Institute of Technology - Kanpur,India,IIT Kanpur RED,,,,False,False,False,True,0,8,0.0,0,
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,47 - 60,National Taiwan Normal University,Taiwan,NTNU ICEMEN,,,,False,False,False,True,0,8,0.0,0,
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,47 - 60,Sharif University of Technology,Iran,Sharif-Arvand,,,,False,False,False,True,0,8,0.0,0,
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,47 - 60,South Dakota State University,United States,South Dakota State Jacks,,,,False,False,False,True,0,8,0.0,0,
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,47 - 60,The American University in Cairo,Egypt,AU Cairo 2B || !(2B,,,,False,False,False,True,0,8,0.0,0,
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,47 - 60,The Johns Hopkins University,United States,Johns Hopkins Optimus Prime,,,,False,False,False,True,0,8,0.0,0,
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,47 - 60,The University of Texas at Austin,United States,UT-Austin Longhorns,,,,False,False,False,True,0,8,0.0,0,
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,47 - 60,The University of Waikato,New Zealand,Waikato Team X,,,,False,False,False,True,0,8,0.0,0,
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,47 - 60,Universidad de las Americas-Puebla,Mexico,U de las Americas Waxtron,,,,False,False,False,True,0,8,0.0,0,
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,47 - 60,University of Calgary,Canada,U Calgary Digital Dinos III,,,,False,False,False,True,0,8,0.0,0,
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,47 - 60,University of Oklahoma,United States,U Oklahoma Peek-n-Pokemon,,,,False,False,False,True,0,8,0.0,0,
