Year,Date,Host,City,Venue,Rank,University,Country,Team,Contestant 1,Contestant 2,Contestant 3,Gold,Silver,Bronze,Honorable,Score,Total,Score Percentage,Penalty,Prize
2021,2022-11-10,Bangladesh,Dhaka,International Convention City Bashundhara,1,Massachusetts Institute of Technology,United States,MIT ZEROONE,Jerry Mao,Mingyang Deng,Xiao Mao,True,False,False,False,11,12,0.92,1339,"World Champion, North America Champion"
2021,2022-11-10,Bangladesh,Dhaka,International Convention City Bashundhara,2,Peking University,China,inverted cross,Chaozhe Kong,Junyue Pan,Yuyang Zhou,True,False,False,False,10,12,0.83,1711,Asia East Champion
2021,2022-11-10,Bangladesh,Dhaka,International Convention City Bashundhara,3,The University of Tokyo,Japan,___ KING ___,Hirotaka Isa,Riku Kawasaki,Yuta Takaya,True,False,False,False,9,12,0.75,1036,Asia Pacific Champion
2021,2022-11-10,Bangladesh,Dhaka,International Convention City Bashundhara,4,Seoul National University,South Korea,Let Us Win ICPC WF,Gyojun Youn,Minje Lee,Sebin Kim,True,False,False,False,9,12,0.75,1303,
2021,2022-11-10,Bangladesh,Dhaka,International Convention City Bashundhara,5,ETH Zürich,Switzerland,lETHargy,Antti Röyskö,Marcel Bezdrighin,Yuhao Yao,False,True,False,False,9,12,0.75,1541,Europe Champion
2021,2022-11-10,Bangladesh,Dhaka,International Convention City Bashundhara,6,École Normale Supérieure de Paris,France,ENS Ulm 1,Arthur Léonard,Etienne Rossignol,Noé Weeks,False,True,False,False,9,12,0.75,1706,
2021,2022-11-10,Bangladesh,Dhaka,International Convention City Bashundhara,7,Carnegie Mellon University,United States,CMU2,Andrew Yang,Christopher Lambert,Zack Lee,False,True,False,False,9,12,0.75,1741,
2021,2022-11-10,Bangladesh,Dhaka,International Convention City Bashundhara,8,University of Warsaw,Poland,Warsaw Eagles 2021,Dawid Jamka,Konrad Paluszek,Łukasz Kondraciuk,False,True,False,False,8,12,0.67,946,
2021,2022-11-10,Bangladesh,Dhaka,International Convention City Bashundhara,9,National Research University Higher School of Economics,Russia,Overtrained,Ivan Safonov,Maksim Gorokhovskii,Ramazan Rakhmatullin,False,False,True,False,8,12,0.67,1092,Northern Eurasia Champion
2021,2022-11-10,Bangladesh,Dhaka,International Convention City Bashundhara,10,St. Petersburg State University,Russia,LOUD Enough,Ivan Bochkov,Nikita Gaevoi,Vladislav Makarov,False,False,True,False,8,12,0.67,1217,
2021,2022-11-10,Bangladesh,Dhaka,International Convention City Bashundhara,11,University of Oxford,United Kingdom,Los Patrons,Costin-Andrei Oncescu,Lukas Michel,Stefan Buliga,False,False,True,False,8,12,0.67,1269,
2021,2022-11-10,Bangladesh,Dhaka,International Convention City Bashundhara,12,University of Engineering and Technology - VNU,Viet Nam,EggCentroy,Kien Vu Hoang,Nguyen Hai Binh,Đức Bùi Hồng,False,False,True,False,8,12,0.67,1430,
2021,2022-11-10,Bangladesh,Dhaka,International Convention City Bashundhara,13,KTH - Royal Institute of Technology,Sweden,CyanForces,Joakim Blikstad,Nicole Hedblom,Tobias Glimmerfors,False,False,False,True,8,12,0.67,1583,
2021,2022-11-10,Bangladesh,Dhaka,International Convention City Bashundhara,14,Shanghai Jiao Tong University,China,All-in at the River,Boren Tan,Shangfei Yang,Zonghan Yang,False,False,False,True,8,12,0.67,1586,
2021,2022-11-10,Bangladesh,Dhaka,International Convention City Bashundhara,15,Tokyo Institute of Technology,Japan,good_yamikin,Mikihito Matsuura,Takuto Yoshida,Tatsuhito Yamagata,False,False,False,True,8,12,0.67,1662,
2021,2022-11-10,Bangladesh,Dhaka,International Convention City Bashundhara,16,St. Petersburg Campus of Higher School of Economics,Russia,SPb HSE 1: Lemon Tree,Konstantin Makhnev,Maria Fedorkina,Vasily Alferov,False,False,False,True,7,12,0.58,1169,
2021,2022-11-10,Bangladesh,Dhaka,International Convention City Bashundhara,17,University of Waterloo,Canada,Waterloo Black,Ildar Gainullin,Jason Yuen,Wesley Leung,False,False,False,True,7,12,0.58,1193,
2021,2022-11-10,Bangladesh,Dhaka,International Convention City Bashundhara,18,University of Cambridge,United Kingdom,balloonatics,Tautvydas Jasiūnas,Vladimir Milenkovic,Yui Hin Arvin Leung,False,False,False,True,7,12,0.58,1208,
2021,2022-11-10,Bangladesh,Dhaka,International Convention City Bashundhara,19,St. Petersburg ITMO University,Russia,SPb ITMO University Insert your name,Nikolay Budin,Roman Korobkov,Stanislav Naumov,False,False,False,True,7,12,0.58,1246,
2021,2022-11-10,Bangladesh,Dhaka,International Convention City Bashundhara,20,Purdue University,United States,Purdue RE,Richard Li,Riley Borgard,Trung Dang,False,False,False,True,7,12,0.58,1269,
2021,2022-11-10,Bangladesh,Dhaka,International Convention City Bashundhara,21,Jagiellonian University in Krakow,Poland,Jagiellonian,Grzegorz Gawryał,Jacek Salata,Krzysztof Ziobro,False,False,False,True,7,12,0.58,1304,
2021,2022-11-10,Bangladesh,Dhaka,International Convention City Bashundhara,22,Belarusian State University,Belarus,BelarusianSU 3,Aliaksei Filinovich,Anton Paliukhovich,Yafim Klimasheuski,False,False,False,True,7,12,0.58,1317,
2021,2022-11-10,Bangladesh,Dhaka,International Convention City Bashundhara,23,Kyoto University,Japan,Heno World,Chuta Yamaoka,Tomohito Omori,Yuya Kadono,False,False,False,True,7,12,0.58,1386,
2021,2022-11-10,Bangladesh,Dhaka,International Convention City Bashundhara,24,University of Wroclaw,Poland,UWr1,Adam Zyzik,Krzysztof Boryczka,Marcin Knapik,False,False,False,True,7,12,0.58,1390,
2021,2022-11-10,Bangladesh,Dhaka,International Convention City Bashundhara,25,International IT University,Kazakhstan,IITU 1,Abay Baimukanov,Batyr Sardarbekov,Parassat Kyzyrkanov,False,False,False,True,7,12,0.58,1479,
2021,2022-11-10,Bangladesh,Dhaka,International Convention City Bashundhara,26,University of Central Florida,United States,UCF Juicer,Daniel West,Jacob Magnuson,Seba Villalobos,False,False,False,True,6,12,0.5,820,
2021,2022-11-10,Bangladesh,Dhaka,International Convention City Bashundhara,27,National Taiwan University,Taiwan,waynedisonitau123,Jung Tao Cheng,Kuan-Yu Chen,Ta-Wei Tu,False,False,False,True,6,12,0.5,850,
2021,2022-11-10,Bangladesh,Dhaka,International Convention City Bashundhara,28,National Yang Ming Chiao Tung University,Taiwan,NCTU_a,Bo-Wei Lin,Hsuan-Yu Kuo,Ke-Wei Huang,False,False,False,True,6,12,0.5,885,
2021,2022-11-10,Bangladesh,Dhaka,International Convention City Bashundhara,29,Moscow Institute of Physics and Technology,Russia,Moscow IPT LinkCat,Maksim Gaponov,Valery Zgursky,Vyacheslav Surkov,False,False,False,True,6,12,0.5,957,
2021,2022-11-10,Bangladesh,Dhaka,International Convention City Bashundhara,30,Swarthmore College,United States,cout << 1/0 << endl;,Jay Leeds,Runze Wang,Timothy Mou,False,False,False,True,6,12,0.5,962,
2021,2022-11-10,Bangladesh,Dhaka,International Convention City Bashundhara,31,KAIST,South Korea,Everybody,Hongnyung Kim,Jaemin Choi,Jaeung Lee,False,False,False,True,6,12,0.5,1004,
2021,2022-11-10,Bangladesh,Dhaka,International Convention City Bashundhara,32,University of Toronto,Canada,U of T Blue,Matthew Agar,Michael Nematollahi,Victor Tao,False,False,False,True,6,12,0.5,1027,
2021,2022-11-10,Bangladesh,Dhaka,International Convention City Bashundhara,33,Xidian University,China,Symplectic Geometric Rhythm,Can Zhou,Chang Feng,Zhongsheng Zhan,False,False,False,True,6,12,0.5,1051,
2021,2022-11-10,Bangladesh,Dhaka,International Convention City Bashundhara,34,University of California Los Angeles,United States,UCLA Ice Cream Sandwich,Arihant Jain,Jacob Zhang,Lucas Xia,False,False,False,True,6,12,0.5,1057,
2021,2022-11-10,Bangladesh,Dhaka,International Convention City Bashundhara,35,Bina Nusantara University,Indonesia,Hai san generations :v,Andreas Cendranata,Andreas Martin,Rico Filberto,False,False,False,True,6,12,0.5,1072,
2021,2022-11-10,Bangladesh,Dhaka,International Convention City Bashundhara,36,"Faculty of Computer Science, Belgrade",Serbia,RAF Penguins,Aleksa Milisavljevic,Aleksa Plavsic,Pavle Martinovic,False,False,False,True,6,12,0.5,1092,
2021,2022-11-10,Bangladesh,Dhaka,International Convention City Bashundhara,37,Hanoi University of Science and Technology,Viet Nam,C'est BON!,Anh Duc Le,Dinh Dac Do,Minh Quang Le,False,False,False,True,6,12,0.5,1110,
2021,2022-11-10,Bangladesh,Dhaka,International Convention City Bashundhara,38,Utrecht University,Netherlands,while (false) break;,Ludo Dekker,Reinier Schmiermann,Richard Wols,False,False,False,True,6,12,0.5,1215,
2021,2022-11-10,Bangladesh,Dhaka,International Convention City Bashundhara,39,Saratov State University,Russia,Saratov SU N,Maksim Meshcheryakov,Mikhail Piklyaev,Vladimir Petrov,False,False,False,True,6,12,0.5,1248,
2021,2022-11-10,Bangladesh,Dhaka,International Convention City Bashundhara,40,Technische Universität München,Germany,Dolores TUMbridge,Atacan İyidoğan,Erik Sünderhauf,Tobias Benjamin Schindler,False,False,False,True,6,12,0.5,1317,
2021,2022-11-10,Bangladesh,Dhaka,International Convention City Bashundhara,41,Moscow State University,Russia,Moscow SU: Nonames,Andrei Kalendarov,Egor Chunaev,Mikhail Koshelev,False,False,False,True,5,12,0.42,713,
2021,2022-11-10,Bangladesh,Dhaka,International Convention City Bashundhara,42,Keio University,Japan,Antitled,Keita Murase,Ryuto Kojima,Tomohiro Nakayoshi,False,False,False,True,5,12,0.42,826,
2021,2022-11-10,Bangladesh,Dhaka,International Convention City Bashundhara,43,UNSW Sydney,Australia,TLE on test case 2020,Angus Ritossa,Pengsen Mao,Temmie Yao,False,False,False,True,5,12,0.42,893,
2021,2022-11-10,Bangladesh,Dhaka,International Convention City Bashundhara,44,Universidad Nacional de Córdoba - FaMAF,Argentina,Alt 4F,Mateo Carranza Vélez,Sebastián Marín,Uziel Ludueña,False,False,False,True,5,12,0.42,1007,Latin America Champion
2021,2022-11-10,Bangladesh,Dhaka,International Convention City Bashundhara,45,Arab Academy for Science and Technology - Alexandria,Egypt,100% Winrate,Mahmoud Badawy,Mariam Salah,Youssef Salama,False,False,False,True,5,12,0.42,1088,Africa and the Middle East Champion
